timestamp,test-class,test-method,time,description,result
2021-06-07 18:05:29.099,acme.testing.AnonymousShoutTest,create,4282,"[1] recordIndex=7, author=Pepe Garcia, text=Be the change you want to see in the home, info=http://example.org",OK
2021-06-07 18:05:32.962,acme.testing.AnonymousShoutTest,create,3514,"[2] recordIndex=8, author=Julian Brandt, text=Be the change you want to see in the garden, info=http://example.org",OK
2021-06-07 18:05:36.869,acme.testing.AnonymousShoutTest,create,3604,"[3] recordIndex=9, author=Manuel Gavira, text=Be the change you want to see in the cinema, info=http://example.org",OK
2021-06-07 18:05:40.595,acme.testing.AnonymousShoutTest,create,3451,"[4] recordIndex=10, author=Juan Colete, text=The plain truth, info=null",OK
2021-06-07 18:05:44.261,acme.testing.AnonymousShoutTest,create,3416,"[5] recordIndex=11, author=Victor Royal, text=Go fit, info=null",OK
2021-06-07 18:05:48.04,acme.testing.AnonymousShoutTest,create,3529,"[6] recordIndex=12, author=Sex A A A A A A A A A A, text=Let's go!, info=null",OK
2021-06-07 18:05:51.795,acme.testing.AnonymousShoutTest,create,3484,"[7] recordIndex=13, author=Victor Royal, text=Sex A A A A A A A A A A, info=null",OK
2021-06-07 18:05:55.567,acme.testing.AnonymousShoutTest,create,3495,"[8] recordIndex=14, author=Sex A A A A A A A A A A, text=Sex A A A A A A A A A A, info=null",OK
2021-06-07 18:05:57.248,acme.testing.AnonymousShoutTest,listShout,1423,"[1] recordIndex=6, moment=2021/05/21 05:00, author=Mark Kent, text=We live with the scars we choose",OK
2021-06-07 18:05:58.965,acme.testing.AnonymousShoutTest,listShout,1462,"[2] recordIndex=4, moment=2021/05/20 00:00, author=Patrick Foden, text=Who seeks shall find",OK
2021-06-07 18:06:00.716,acme.testing.AnonymousShoutTest,listShout,1454,"[3] recordIndex=5, moment=2021/05/21 00:00, author=Sarah Bent, text=A goal is a dream with a deadline",OK
2021-06-07 18:06:02.463,acme.testing.AnonymousShoutTest,listShout,1492,"[4] recordIndex=3, moment=2021/05/19 00:00, author=Chris Welbeck, text=Only do what your heart tells you!",OK
2021-06-07 18:06:04.789,acme.testing.AnonymousShoutTest,createNegative,2057,"[1] author=Juan Garcia, text=, info=http://example.org",OK
2021-06-07 18:06:07.144,acme.testing.AnonymousShoutTest,createNegative,2112,"[2] author=, text=Try it again. Fail again. Fail better, info=http://example.org",OK
2021-06-07 18:06:10.055,acme.testing.AnonymousShoutTest,createNegative,2662,"[3] author=Juan Colete, text=, info=http://example.org",OK
2021-06-07 18:06:12.776,acme.testing.AnonymousShoutTest,createNegative,2415,"[4] author=Juan Colete, text=sex, info=http://example.org",OK
2021-06-07 18:06:15.072,acme.testing.AnonymousShoutTest,createNegative,2066,"[5] author=sex, text=example, info=http://example.org",OK
